plant,treatment,species,fruit_number,poll.access,ant.access,omit.tc.nosp,vacant,weight.in.grams,width (mm),seed_count,blackened?,number.blackened,number.unblackened,seed_mass,abort?,notes
25,PAAA,l,2,y,y,n,n,1.8,17.05,178,y,25,153,0.9,n,
26,PAAA,l,1,y,y,n,n,,23.46,284,y,4,284,1.89832,n,
27,PAAA,l,1,y,y,n,n,1.6,22.21,7,y,1,6,0.08966,n,
27,tc,l,1,y,y,y,n,1.5,18.6,37,y,10,27,0.2,n,
27,tc,l,2,y,y,y,n,2.3,22.03,89,y,6,83,0.7,n,
27,tc,l,3,y,y,y,n,1.7,20.33,35,y,3,32,0.3,n,
28,PAAA,l,4,y,y,n,n,3.3,23.16,207,y,17,190,1.6332,n,
28,PAAA,l,3,y,y,n,n,2.5,21.8,226,y,2,224,1.4104,n,
28,PAAA,l,2,y,y,n,n,2.7,21.35,243,n,0,243,1.555,n,
28,PAAA,l,1,y,y,n,n,2.7,21.74,271,y,18,253,1.2933,n,
29,PAAA,l,1,y,y,n,n,1.9,20.4,141,y,34,107,0.2,n,
30,tc,l,1,y,y,y,n,3.4,21.63,280,y,90,190,1.52,n,
30,PAAA,l,1,y,y,n,n,3.2,18.94,222,y,88,134,1.91829,n,mold/damage
30,PAAA,l,3,y,y,n,n,2.7,19.85,182,y,182,0,1.33172,n,mold
30,PAAA,l,2,y,y,n,n,3.4,20.5,221,y,7,214,1.94999,n,mold
32,PAAA,l,1,y,y,n,n,2,16.75,165,n,0,0,0,n,
32,PAAA,l,2,y,y,n,n,3.4,18.46,222,n,0,0,0,n,
32,PAAA,l,3,y,y,n,n,3,15.97,205,n,0,0,0,n,
33,PAAA,l,1,y,y,n,n,1.7,19.29,114,y,2,112,0.6,n,damage
33,PAAA,l,2,y,y,n,n,1.5,15.89,90,y,1,89,0.6,n,
33,PAAA,l,3,y,y,n,n,1.4,15.1,93,y,2,91,0.6,n,
33,PAAA,l,4,y,y,n,n,1.6,12.5,91,n,0,91,0.6,n,
33,PAAA,l,5,y,y,n,n,1.9,20.3,135,y,1,134,0.8,n,
33,PAAA,l,6,y,y,n,n,1.6,18.44,103,y,3,100,0.6,n,
33,PAAA,l,7,y,y,n,n,1.6,19.54,76,n,0,76,0.6,n,
33,PAAA,l,8,y,y,n,n,1.8,18.07,107,n,0,107,0.7,n,
34,PAAA,l,1,y,y,n,n,5,20,254,n,0,254,2.87598,n,
34,PAAA,l,2,y,y,n,n,4.1,24.12,202,n,0,202,2.1824,n,
34,PAAA,l,3,y,y,n,n,3.8,19.16,158,n,0,158,1.90636,n,
35,PAAA,l,2,y,y,n,n,2.4,18.92,158,n,0,158,0.8,n,
35,PAAA,l,1,y,y,n,n,1.9,18.24,141,n,0,141,0.6,n,
35,tc,l,1,y,y,y,n,1.8,15.17,146,y,3,143,0.72327,n,
35,tc,l,2,y,y,y,n,2.4,15.57,215,y,6,209,1.15716,n,
35,tc,l,3,y,y,y,n,0.9,10.87,0,n,0,0,0,n,
37,PAAA,l,1,y,y,n,n,1.1,18.31,0,n,0,0,0,n,
38,PAAA,l,1,y,y,n,n,1,15.79,18,y,18,0,0.1,n,mold
38,PAAA,l,2,y,y,n,n,1,16.3,55,y,4,51,0.5,n,
38,PAAA,l,3,y,y,n,n,1,14.14,35,y,2,33,0.3,n,
38,PAAA,l,4,y,y,n,n,1.1,16.75,43,y,3,40,0.4,n,
40,tc,l,1,y,y,y,n,1,14.83,33,n,0,33,0.2,n,
40,PAAA,l,1,y,y,n,n,0.8,13.97,23,n,0,23,0.20718,n,
40,PAAA,l,2,y,y,n,n,0.9,13.08,51,n,0,51,0.38379,n,
41,PAAA,l,2,y,y,n,n,3.1,19.64,209,n,0,209,1.65431,n,
41,PAAA,l,4,y,y,n,n,1.4,18.87,0,n,0,0,0,n,
41,PAAA,l,1,y,y,n,n,2.1,,180,n,0,180,1.2,n,broken fruit; some seeds lost; no diameter to measure
41,PAAA,l,3,y,y,n,n,3.2,20.3,259,y,1,258,1.4,n,
42,PAAA,l,2,y,y,n,n,3.1,21.69,209,y,10,209,2.2959,n,
42,PAAA,l,1,y,y,n,n,3.9,19.65,201,y,5,196,2.30607,n,
42,tc,l,1,y,y,y,n,1.9,22.24,132,y,27,105,2.1575,n,damage
